ricf_oid_2013	ba_cn	fp_dt	cf_doc	cf_soc	cf_srvc	cf_proc	cf_govc	cf_otca	cf_atci	cf_dopc	cf_stpc	cf_psc	cf_otpc	cf_atco	cf_anc	cf_inc	cf_inrc	cf_assc	cf_oc	cf_itci	cf_aspc	cf_inpc	cf_oinc	cf_tinc	cf_intc	cf_leca	cf_tfc	cf_tfic	cf_bopc	cf_inpc.1	cf_ofc	cf_tfoc	cf_nfl	cf_exch	cf_ninc	ricf_oid	ba_uscc
13	上海东华大学教育发展基金会	2013	11310669.56	0.0	0.0	0.0	0.0	21372.52	11332042.08	9547900.0	0.0	0.0	8872.1	9556772.1	1775269.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	13.0	533100005017814157
14	上海东方文化艺术基金会	2013	0.0	0.0	0.0	0.0	0.0	119648.54	119648.54	0.0	303871.0	11633211.71	438544.65	12375627.36	-12255978.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	14.0	53310000501780893Q
15	上海东方爱心基金会	2013	0.0	0.0	0.0	0.0	0.0	1852.14	1852.14	1200000.0	0.0	0.0	113674.6	1313674.6	-1311822.46	2350000.0	0.0	0.0	0.0	2350000.0	0.0	1000000.0	0.0	1000000.0	1350000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	15.0	5331000050178056X5
16	上海中华职业教育温暖工程基金会	2013	0.0	0.0	0.0	0.0	0.0	79740.15	79740.15	250000.0	23400.0	153361.2	13988.1	440749.3	-361009.15	133694.94	0.0	0.0	0.0	133694.94	0.0	10005.0	0.0	10005.0	123689.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	16.0	53310000501780420H
17	上海中欧国际工商学院教育发展基金会	2013	21522099.92	0.0	0.0	0.0	0.0	0.0	21522099.92	3398162.5	0.0	6125.26	3311979.8	6716267.56	14805832.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1432992.8	1432992.8	0.0	0.0	0.0	0.0	1432992.8	0.0	0	17.0	53310000501779569G
18	上海交响乐团文化发展基金会	2013	16478600.0	0.0	0.0	0.0	0.0	237201.62	16715801.62	0.0	0.0	4119069.0	0.0	4119069.0	12596732.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40000000.0	40000000.0	-40000000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	18.0	53310000501772770E
19	上海交通大学教育发展基金会	2013	154854022.5	0.0	0.0	0.0	0.0	2440041.43	157294063.96	77323247.27	0.0	0.0	255868.22	77579115.49	79714948.47	756088445.74	30991331.56	0.0	0.0	787079777.3	0.0	912544842.27	0.0	912544842.27	-125465064.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3534.23	0	19.0	53310000501777985E
20	上海仁德基金会	2013	4044932.39	0.0	0.0	0.0	70000.0	6960.62	4121893.01	1941253.0	198094.0	0.0	519434.37	2658781.37	1463111.64	0.0	138018.09	0.0	0.0	138018.09	0.0	6600000.0	0.0	6600000.0	-6461981.91	0.0	0.0	0.0	0.0	0.0	5930.85	5930.85	-5930.85	0.0	0	20.0	53310000501781829B
21	上海公安金盾基金会	2013	33000000.0	0.0	0.0	0.0	0.0	143690.55	33143690.55	8868034.7	138000.0	58.7	164547.6	9170641.0	23973049.55	132000000.0	815298.64	0.0	0.0	132815298.64	0.0	163000000.0	0.0	163000000.0	-30184701.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	21.0	533100005017813781
22	上海兴华教育扶贫基金会	2013	13179886.53	0.0	0.0	0.0	0.0	44291.13	13224177.66	4159799.5	168660.72	0.0	551362.69	4879822.91	8344354.75	490911.3	1668903.51	0.0	0.0	2159814.81	1500000.0	9000000.0	0.0	10500000.0	-8340185.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	22.0	53310000501780084D
23	上海兴韦信息技术职业学院教育发展基金会	2013	7000000.0	0.0	0.0	0.0	0.0	7774.86	7007774.86	6800000.0	0.0	0.0	2000.5	6802000.5	205774.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2000000.0	2000000.0	0.0	0.0	0.0	0.0	2000000.0	0.0	0	23.0	53310000501782290U
24	上海刘浩清公益基金会	2013	0.0	0.0	0.0	0.0	0.0	236.05	236.05	0.0	0.0	0.0	0.0	0.0	236.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	24.0	53310000501781394N
25	上海医学创新发展基金会	2013	11315066.0	0.0	3164705.83	0.0	0.0	109740.09	14589511.92	1904945.8	72000.0	4073328.26	125819.21	6176093.27	8413418.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	25.0	53310000501782231Q
26	上海华东政法大学教育发展基金会	2013	3388791.6	0.0	0.0	0.0	0.0	25648.54	3414440.14	1063036.04	48500.0	0.0	21498.16	1133034.2	2281405.94	14500000.0	71216.44	0.0	0.0	14571216.44	460777.81	14500000.0	0.0	14960777.81	-389561.37	0.0	13395.05	13395.05	0.0	0.0	0.0	0.0	13395.05	0.0	0	26.0	533100005017816694
27	上海华东理工大学教育发展基金会	2013	8293497.47	0.0	0.0	0.0	0.0	113573.22	8407070.69	0.0	0.0	127415.48	5786915.03	5914330.51	2492740.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	27.0	533100005017817738
28	上海华信公益基金会	2013	12545013.35	0.0	0.0	0.0	0.0	1729506.73	14274520.08	13914120.72	1061514.61	0.0	3764436.32	18740071.65	-4465551.57	41950000.0	1157567.14	0.0	0.0	43107567.14	8180.0	33713162.12	65402.55	33786744.67	9320822.47	0.0	25000000.0	25000000.0	0.0	0.0	0.0	0.0	25000000.0	0.0	0	28.0	53310000501781618U
29	上海华杰仁爱基金会	2013	650000.0	0.0	0.0	0.0	0.0	0.0	650000.0	552500.0	47777.6	10507.9	9326.0	620111.5	29888.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	486000.0	3646.22	489646.22	0.0	0.0	31.17	31.17	489615.05	0.0	0	29.0	533100005017795856
30	上海发展昆剧基金会	2013	0.0	0.0	100805.0	0.0	0.0	99156.53	199961.53	0.0	36400.0	0.0	238973.75	275373.75	-75412.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	30.0	533100005017728502
31	上海发展研究基金会	2013	890000.0	0.0	0.0	0.0	0.0	24766.47	914766.47	41000.0	482435.0	0.0	1410783.26	1934218.26	-1019451.79	0.0	1484408.33	496.0	0.0	1484904.33	64483.88	0.0	0.0	64483.88	1420420.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	31.0	5331000050177483X8
32	上海同济大学教育发展基金会	2013	69157349.13	0.0	0.0	0.0	0.0	26000.0	69183349.13	52965689.99	0.0	508631.99	0.0	53474321.98	15709027.15	0.0	0.0	0.0	0.0	0.0	1350.0	42000000.0	0.0	42001350.0	-42001350.0	0.0	2583927.19	2583927.19	0.0	0.0	0.0	0.0	2583927.19	0.0	0	32.0	5331000050177993X2
33	上海同济高廷耀环保科技发展基金会	2013	570000.0	0.0	0.0	0.0	0.0	300968.92	870968.92	710000.0	32500.0	11660.6	14384.32	768544.92	102424.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	33.0	53310000501778750P
34	上海向阳公益基金会	2013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	285000.0	0.0	0.0	28320.4	313320.4	-313320.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14231.55	14231.55	0.0	0.0	0.0	0.0	14231.55	0.0	0	34.0	53310000501781810E
35	上海吴孟超医学科技基金会	2013	5067865.14	0.0	0.0	0.0	0.0	50786216.41	55854081.55	3964334.66	36000.0	0.0	2416208.42	6416543.08	49437538.47	0.0	0.0	0.0	0.0	0.0	0.0	33803319.14	0.0	33803319.14	-33803319.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	35.0	53310000501779155C
36	上海唐君远教育基金会	2013	5183000.0	0.0	0.0	0.0	0.0	51235929.3	56418929.3	13556121.0	507461.67	0.0	702706.94	14766289.61	41652639.69	195802657.0	6282008.33	0.0	0.0	202084665.33	27430.0	263372615.19	0.0	263400045.19	-61315379.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	36.0	53310000501777387J
37	上海商学院教育发展基金会	2013	1571102.0	0.0	0.0	0.0	0.0	65312.09	1636414.09	287000.0	0.0	0.0	125208.1	412208.1	1224205.99	0.0	0.0	0.0	0.0	0.0	2648.0	0.0	0.0	2648.0	-2648.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	37.0	53310000501781992J
38	上海喜玛拉雅文化艺术基金会	2013	4450000.0	0.0	0.0	0.0	0.0	1747.66	4451747.66	6093000.0	261160.0	0.0	31998.0	6386158.0	-1934410.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	38.0	53310000501782071H
39	上海嘉宝公益基金会	2013	500000.0	0.0	0.0	0.0	0.0	908289.21	1408289.21	1150000.0	0.0	0.0	530.0	1150530.0	257759.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20000000.0	20000000.0	-20000000.0	20000000.0	0.0	20000000.0	0.0	0.0	0.0	0.0	20000000.0	0.0	0	39.0	53310000501782354R
40	上海国泰君安社会公益基金会	2013	10646386.0	0.0	0.0	0.0	0.0	6045.55	10652431.55	1308542.2	0.0	0.0	41718.6	1350260.8	9302170.75	14000000.0	281038.35	0.0	0.0	14281038.35	0.0	16000000.0	0.0	16000000.0	-1718961.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	40.0	533100005017818969
41	上海国际经济交流基金会	2013	0.0	0.0	0.0	0.0	0.0	607.27	607.27	0.0	87600.0	585889.8	497.0	673986.8	-673379.53	9655134.48	562440.73	0.0	0.0	10217575.21	0.0	9800000.0	0.0	9800000.0	417575.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	41.0	533100005017753309
42	上海复大公益基金会	2013	416800.0	0.0	0.0	0.0	0.0	142319.5	559119.5	710000.0	70549.08	0.0	7925.9	788474.98	-229355.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	42.0	533100005017816507
43	上海复旦大学教育发展基金会	2013	57539554.48	0.0	0.0	0.0	0.0	3026774.3	60566328.78	43974173.59	1093555.3	55887.67	413752.73	45537369.29	15028959.49	452457.0	2222260.45	0.0	0.0	2674717.45	21487.0	0.0	0.0	21487.0	2653230.45	0.0	0.0	0.0	0.0	0.0	291331.88	291331.88	-291331.88	0.0	0	43.0	53310000501779147H
44	上海复星公益基金会	2013	10000000.0	0.0	0.0	0.0	0.0	9678.58	10009678.58	5000000.0	0.0	0.0	941.0	5000941.0	5008737.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	44.0	53310000501782119R
45	上海夏征农民族文化教育发展基金会	2013	2820000.0	0.0	0.0	0.0	0.0	2110493.55	4930493.55	3295385.73	57000.0	0.0	164382.25	3516767.98	1413725.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	45.0	53310000501780666K
46	上海外国语大学教育发展基金会	2013	4389026.13	0.0	0.0	0.0	0.0	671.0	4389697.13	2742141.88	0.0	11800.0	55424.7	2809366.58	1580330.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-350399.05	-350399.05	350399.05	0.0	0	46.0	53310000501781095Q
48	上海天下文化发展基金会	2013	30000.0	0.0	0.0	0.0	0.0	3820124.41	3850124.41	380000.0	0.0	0.0	13948.7	393948.7	3456175.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	48.0	533100005017811169
49	上海宇兴爱心慈善基金会	2013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4202.32	0.0	0.0	0.0	4202.32	0.0	0.0	0.0	0.0	4202.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	49.0	53310000501782557E
50	上海宋庆龄基金会	2013	52277272.6	0.0	0.0	0.0	0.0	239738.45	52517011.05	34945462.31	1229941.3	0.0	2008787.28	38184190.89	14332820.16	0.0	8084375.7	0.0	0.0	8084375.7	84385.7	16300000.0	0.0	16384385.7	-8300010.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	50.0	53310000501775082K
51	上海富国环保公益基金会	2013	300000.0	0.0	0.0	0.0	0.0	0.0	300000.0	0.0	0.0	0.0	0.0	0.0	300000.0	0.0	77713.53	0.0	520.38	78233.91	0.0	0.0	0.0	0.0	78233.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	51.0	5331000050178187XE
52	上海工商界爱国建设特种基金会	2013	0.0	0.0	0.0	0.0	0.0	97979.9	97979.9	5482026.7	418120.0	3389.9	884187.58	6787724.18	-6689744.28	42000000.0	7245999.8	284829.83	225000.0	49755829.63	17596.0	42900000.0	0.0	42917596.0	6838233.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	52.0	5331000050177387X5
53	上海巴斯德健康研究基金会	2013	0.0	0.0	0.0	0.0	0.0	409495.53	409495.53	0.0	182101.86	0.0	16045004.6	16227106.46	-15817610.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	53.0	53310000501780252F
54	上海市中小学幼儿教师奖励基金会	2013	248050.0	0.0	0.0	0.0	0.0	2995126.61	3243176.61	6165188.34	390051.63	80880.12	0.0	6636120.09	-3392943.48	462262.23	6122780.68	0.0	0.0	6585042.91	9505299.0	0.0	0.0	9505299.0	-2920256.09	0.0	81747.96	81747.96	0.0	0.0	0.0	0.0	81747.96	0.0	0	54.0	53310000501772199A
55	上海市九段沙湿地自然保护基金会	2013	15000.0	0.0	0.0	0.0	0.0	521363.61	536363.61	0.0	0.0	143464.0	5906.5	149370.5	386993.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	55.0	533100005017795263
56	上海市人口福利基金会	2013	7590365.69	0.0	0.0	0.0	0.0	800000.0	8390365.69	5448468.3	132400.0	0.0	73889.5	5654757.8	2735607.89	0.0	43890.41	0.0	0.0	43890.41	52550.0	5000000.0	0.0	5052550.0	-5008659.59	0.0	20519.88	20519.88	0.0	0.0	337.0	337.0	20182.88	0.0	0	56.0	53310000501772359H
57	上海市体育发展基金会	2013	18875384.1	0.0	0.0	0.0	4290000.0	0.0	23165384.1	18454567.52	1254791.4	642781.0	0.0	20352139.92	2813244.18	34400000.0	0.0	0.0	0.0	34400000.0	119821.0	41000000.0	0.0	41119821.0	-6719821.0	0.0	1470863.91	1470863.91	0.0	0.0	546516.14	546516.14	924347.77	0.0	0	57.0	5331000050177301XH
58	上海市促进科技成果转化基金会	2013	70000.0	0.0	0.0	0.0	0.0	407982.78	477982.78	0.0	204464.8	4636258.2	357893.68	5198616.68	-4720633.9	167441.93	3587441.86	0.0	0.0	3754883.79	0.0	0.0	0.0	0.0	3754883.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	58.0	533100005017806236
59	上海市儿童健康基金会	2013	5686116.45	0.0	0.0	0.0	0.0	0.0	5686116.45	3762536.9	362400.0	72941.13	28077.35	4225955.38	1460161.07	0.0	0.0	130.0	0.0	130.0	12000.0	0.0	0.0	12000.0	-11870.0	0.0	189523.29	189523.29	0.0	0.0	344.1	344.1	189179.19	0.0	0	59.0	53310000501772885L
60	上海市儿童基金会	2013	4519139.9	0.0	0.0	0.0	0.0	859107.19	5378247.09	3198944.0	24000.0	0.0	1138857.62	4361801.62	1016445.47	0.0	130015.06	0.0	0.0	130015.06	0.0	0.0	0.0	0.0	130015.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4973.25	0	60.0	533100005017734741
61	上海市医药卫生发展基金会	2013	21769133.37	0.0	0.0	0.0	0.0	3819058.58	25588191.95	9556722.55	268264.41	0.0	2518663.04	12343650.0	13244541.95	166900000.0	886743.2	0.0	0.0	167786743.2	0.0	191600000.0	0.0	191600000.0	-23813256.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	61.0	5331000050178195X2
63	上海市华侨事业发展基金会	2013	10817636.91	0.0	0.0	0.0	4286500.0	1914112.48	17018249.39	13969703.5	601827.62	0.0	875602.82	15447133.94	1571115.45	0.0	969469.73	0.0	0.0	969469.73	21789.0	0.0	0.0	21789.0	947680.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3988.35	0	63.0	53310000501779980D
64	上海市卢湾区教育基金会	2013	219529.53	0.0	0.0	0.0	0.0	0.0	219529.53	0.0	90000.0	1558693.0	28130.0	1676823.0	-1457293.47	900000.0	758783.11	0.0	0.0	1658783.11	0.0	0.0	0.0	0.0	1658783.11	0.0	1307.7	1307.7	0.0	0.0	3500.0	3500.0	-2192.3	0.0	0	64.0	5331000050177280XN
65	上海市卫生系统青年人才奖励基金会	2013	655000.0	0.0	156800.0	0.0	0.0	144602.85	956402.85	1002983.2	52100.0	0.0	74508.57	1129591.77	-173188.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	65.0	5331000050177379XH
66	上海市嘉定区教育奖励基金会	2013	1079108.41	0.0	0.0	0.0	0.0	18083.66	1097192.07	492349.0	0.0	0.0	2246642.3	2738991.3	-1641799.23	0.0	1900000.0	0.0	0.0	1900000.0	0.0	0.0	0.0	0.0	1900000.0	0.0	9845.93	9845.93	0.0	0.0	0.0	0.0	9845.93	0.0	0	66.0	53310000501772404J
67	上海市大学生科技创业基金会	2013	2062287.0	0.0	0.0	0.0	119940000.0	35406216.56	157408503.56	55820155.09	1359102.59	0.0	1382983.2	58562240.88	98846262.68	0.0	0.0	85091.07	0.0	85091.07	76855.0	10000000.0	0.0	10076855.0	-9991763.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	67.0	53310000501780068P
68	上海市奉贤区教育基金会	2013	100000.0	0.0	0.0	0.0	0.0	12000196.84	12100196.84	260572.2	18000.0	33988.68	0.0	312560.88	11787635.96	0.0	0.0	0.0	0.0	0.0	0.0	10000000.0	0.0	10000000.0	-10000000.0	0.0	4000000.0	4000000.0	0.0	0.0	0.0	0.0	4000000.0	0.0	0	68.0	53310000501782530N
69	上海市奉贤建设工程科学技术发展基金会	2013	800000.0	0.0	0.0	0.0	0.0	1204793.19	2004793.19	2071571.0	21100.0	0.0	57187.5	2149858.5	-145065.31	165000.0	0.0	0.0	0.0	165000.0	0.0	0.0	0.0	0.0	165000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	69.0	533100005017795931
70	上海市安济医疗救助基金会	2013	4478878.02	0.0	0.0	0.0	0.0	42668.91	4521546.93	1494721.2	0.0	0.0	5108.9	1499830.1	3021716.83	0.0	231651.0	0.0	0.0	231651.0	0.0	594374.2	0.0	594374.2	-362723.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	70.0	533100005017799482
71	上海市宝山区教育发展基金会	2013	500000.0	0.0	0.0	0.0	0.0	180228.94	680228.94	864313.36	54000.0	0.0	782270.0	1700583.36	-1020354.42	0.0	0.0	0.0	0.0	0.0	0.0	500000.0	0.0	500000.0	-500000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	71.0	533100005017747332
72	上海市应昌期围棋教育基金会	2013	100000.0	0.0	10426001.6	0.0	90000.0	286674.24	10902675.84	9589031.7	660110.0	335288.45	106031.1	10690461.25	212214.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	72.0	5331000050177811XB
73	上海市建国社会公益基金会	2013	48549.32	0.0	0.0	0.0	0.0	2658199.3	2706748.62	5045946.0	100357.6	0.0	1523508.52	6669812.12	-3963063.5	4817430.19	4433529.38	0.0	8685.09	9259644.66	0.0	5000000.0	84735.39	5084735.39	4174909.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	73.0	533100005017744937
74	上海市徐汇区教育基金会	2013	5851790.8	0.0	0.0	0.0	0.0	1198937.38	7050728.18	4447676.9	0.0	0.0	364072.7	4811749.6	2238978.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	74.0	53310000501772412D
75	上海市慈善基金会	2013	706630865.7	0.0	0.0	0.0	25283084.0	32208314.79	764122264.52	547735067.45	10229172.28	0.0	41760603.51	599724843.24	164397421.28	200097100.0	36152177.45	106000.0	0.0	236355277.45	14051063.84	250000000.0	0.0	264051063.84	-27695786.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	75.0	53310000501775488W
76	上海市拥军优属基金会	2013	82583996.32	0.0	0.0	0.0	30977680.0	76530354.49	190092030.81	26200618.6	2060224.54	2155439.36	52494557.05	82910839.55	107181191.26	506707076.45	13709728.39	3000000.0	5274859.9	528691664.74	1282816.2	425563608.81	1279488.5	428125913.51	100565751.23	0.0	0.0	0.0	0.0	0.0	50804175.36	50804175.36	-50804175.36	0.0	0	76.0	53310000501776042N
77	上海市教育发展基金会	2013	18217043.63	0.0	7244748.16	0.0	0.0	0.0	25461791.79	23588030.45	911612.46	5554742.76	2034924.01	32089309.68	-6627517.89	0.0	16659740.18	0.0	86678.23	16746418.41	0.0	0.0	0.0	0.0	16746418.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	77.0	53310000501775269J
78	上海市普陀区教育奖励基金会	2013	2000000.0	0.0	0.0	0.0	0.0	23698.86	2023698.86	454370.0	43700.0	0.0	2501.0	500571.0	1523127.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	78.0	53310000501773335A
79	上海市杨浦区教育奖励基金会	2013	0.0	0.0	300000.0	0.0	0.0	345304.58	645304.58	0.0	30000.0	0.0	126137.81	156137.81	489166.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	79.0	53310000501772527K
